POSTE;DATE;RR;TN;TX;FXY;DXY;GLOT;NEIG;BROU;ORAG
31069001;19711024;0;7,3;21,6;;;;0;1;0
31069001;19711025;0;8,9;23,3;;;;0;1;0
31069001;19711026;0;6,2;23;;;;0;0;0
31069001;19711027;0;6,5;16,7;;;;0;1;0
31069001;19711028;0;6,3;18,3;;;;0;1;0
31069001;19711029;0,1;6,3;15,5;;;;0;1;0
31069001;19711030;0;8;20,2;;;;0;1;0
31069001;19711031;0;5,3;19,6;;;;0;1;0
31069001;19711101;0;3,7;17,8;;;;0;0;0
31069001;19711102;0;0,8;16,6;;;;0;1;0
31069001;19711103;0;0,4;17,9;;;;0;0;0
31069001;19711104;0;0,4;19,8;;;;0;0;0
31069001;19711105;0,1;0,3;19,4;;;;0;1;0
31069001;19711106;11,1;6,8;10,8;;;;0;0;0
31069001;19711107;0,1;7,7;10,9;;;;0;0;0
31069001;19711108;4,4;7,1;12,4;;;;0;0;0
31069001;19711109;1,3;7;10,1;;;;0;0;0
31069001;19711110;8,8;0,8;4,8;;;;1;0;0
31069001;19711111;0;1,3;2,9;;;;0;0;0
31069001;19711112;0,2;1,9;4,1;;;;0;0;0
31069001;19711113;0;2,5;5;;;;0;0;0
31069001;19711114;0;3,1;11,7;;;;0;0;0
31069001;19711115;0;-1,4;8,9;;;;0;1;0
31069001;19711116;0;2,5;4,5;;;;0;0;0
31069001;19711117;0;2,6;8,8;;;;0;0;0
31069001;19711118;0,1;6,9;13,8;;;;0;0;0
31069001;19711119;0,8;5;10,4;;;;0;0;0
31069001;19711120;0;-1,4;7;;;;0;0;0
31069001;19711121;10,7;-2,6;13,6;;;;0;0;0
31069001;19711122;0;3,4;7,3;;;;1;0;0
31069001;19711123;7,7;0,2;8,3;;;;0;0;0
31069001;19711124;0;2,1;4,9;;;;0;0;0
31069001;19711125;0;-2,2;4,4;;;;0;0;0
31069001;19711126;0,6;-2,6;3,1;;;;0;0;0
31069001;19711127;0;1,5;4;;;;0;1;0
31069001;19711128;4,1;3;9;;;;0;0;0
31069001;19711129;8,3;1,6;7,2;;;;0;0;0
31069001;19711130;1,9;3,6;10,7;;;;0;0;0
31069001;19711201;0,4;4,3;8,1;;;;0;0;0
31069001;19711202;10,9;4,4;8,3;;;;0;0;0
31069001;19711203;0,1;6;7,6;;;;0;0;0
31069001;19711204;0;0,1;8,7;;;;0;1;0
31069001;19711205;0;-0,3;12,3;;;;0;0;0
31069001;19711206;8,1;5;11,2;;;;0;0;0
31069001;19711207;0;2,8;12,8;;;;0;1;0
31069001;19711208;0;3,6;5,6;;;;0;0;0
31069001;19711209;0;0,1;4;;;;0;0;0
31069001;19711210;0;0,7;6,4;;;;0;0;0
31069001;19711211;0;4,7;8,1;;;;0;0;0
31069001;19711212;0;-1,4;7,2;;;;0;1;0
31069001;19711213;0;-1,1;2,7;;;;0;1;0
31069001;19711214;0;-4,4;10,8;;;;0;1;0
31069001;19711215;0;-1,3;13,2;;;;0;0;0
31069001;19711216;0;1,1;12,2;;;;0;1;0
31069001;19711217;0;-0,1;13;;;;0;1;0
31069001;19711218;0;0,6;13,7;;;;0;1;0
31069001;19711219;0,2;0,6;12,8;;;;0;1;0
31069001;19711220;0,1;8,4;14,8;;;;0;0;0
31069001;19711221;0;8,5;13,4;;;;0;1;0
31069001;19711222;0,1;5,3;12,9;;;;0;1;0
31069001;19711223;0;4,4;7,8;;;;0;1;0
31069001;19711224;0;6,7;9,3;;;;0;1;0
31069001;19711225;0;5,5;12;;;;0;1;0
31069001;19711226;0;4,4;14,8;;;;0;1;0
31069001;19711227;0;1,9;11,8;;;;0;1;0
31069001;19711228;3;0,7;9,3;;;;0;1;0
31069001;19711229;2,6;4,8;8;;;;0;1;0
31069001;19711230;15,2;1,4;6,8;;;;0;1;0
31069001;19711231;13,9;0,8;4,9;;;;1;0;0
31069001;19720101;0;0,5;9,7;;;;0;0;0
31069001;19720102;3,1;3,2;7,3;;;;0;0;0
31069001;19720103;0;3,5;7,3;;;;0;0;0
31069001;19720104;0;0,6;10;;;;0;0;0
31069001;19720105;0;-2,4;10,4;;;;0;0;0
31069001;19720106;0;0,4;10;;;;0;0;0
31069001;19720107;0;6,6;10,7;;;;0;0;0
31069001;19720108;0;2;12,3;;;;0;0;0
31069001;19720109;3,1;8,3;12,6;;;;0;0;0
31069001;19720110;0;8,2;13,9;;;;0;0;0
31069001;19720111;2,3;3;12,1;;;;0;0;0
31069001;19720112;7,7;7,3;8,6;;;;0;0;0
31069001;19720113;4;2,6;11,8;;;;0;0;0
31069001;19720114;0;3,3;10,3;;;;0;0;0
31069001;19720115;0;6,4;14,7;;;;0;0;0
31069001;19720116;0;5,8;12,4;;;;0;0;0
31069001;19720117;6,2;5;7,5;;;;0;0;0
31069001;19720118;0,2;5,9;9,8;;;;0;0;0
31069001;19720119;0;1,7;11,7;;;;0;1;0
31069001;19720120;0,3;0,4;9,9;;;;0;0;0
31069001;19720121;0;2,6;7,6;;;;0;0;0
31069001;19720122;0;-0,3;5,1;;;;0;0;0
31069001;19720123;0;-1,6;0,8;;;;0;0;0
31069001;19720124;1,9;-2,4;5,9;;;;0;1;0
31069001;19720125;10,2;2,2;6;;;;0;0;0
31069001;19720126;22,5;3,6;10,9;;;;0;1;0
31069001;19720127;5,7;4,1;7,9;;;;0;0;0
31069001;19720128;7,3;3,2;4,9;;;;0;0;0
31069001;19720129;2,4;1,9;3;;;;0;0;0
31069001;19720130;0;0,4;3,6;;;;0;0;0
31069001;19720131;0;-2,5;8,2;;;;0;1;0
31069001;19720201;1,9;3,4;12;;;;0;0;0
31069001;19720202;0;3,5;11,2;;;;0;0;0
31069001;19720203;0,6;8,3;13,5;;;;0;0;0
31069001;19720204;0;0,1;12,3;;;;0;1;0
31069001;19720205;0;-1;12,1;;;;0;1;0
31069001;19720206;0;9,6;13,2;;;;0;0;0
31069001;19720207;9,5;7,6;13,4;;;;0;0;0
31069001;19720208;3,3;5,5;14;;;;0;0;0
31069001;19720209;0,7;5,4;9,1;;;;0;0;0
31069001;19720210;4,5;1;11,6;;;;0;0;0
31069001;19720211;24,7;7;11,1;;;;0;0;1
31069001;19720212;12,7;4,5;10;;;;0;0;1
31069001;19720213;4,7;4,3;12,2;;;;0;0;0
31069001;19720214;0;4,9;10;;;;0;0;0
31069001;19720215;0;-1;11,9;;;;0;0;0
31069001;19720216;0;4,1;12;;;;0;0;0
31069001;19720217;0,7;5,8;10,6;;;;0;0;0
31069001;19720218;0,2;-0,4;14,1;;;;0;1;0
31069001;19720219;5,4;6,2;8,9;;;;0;0;0
31069001;19720220;4,1;5,7;7,3;;;;0;0;0
31069001;19720221;0;3;10,8;;;;0;0;0
31069001;19720222;0;3,4;13,3;;;;0;0;0
31069001;19720223;0;2,6;12,8;;;;0;0;0
31069001;19720224;0;9,6;14,3;;;;0;0;0
31069001;19720225;0,6;1,7;12,3;;;;0;0;0
